locatedInCR(afghanistan,asia) 0.294884 1
neighborOf(angola,equatorial_guinea) 0.240622 5
neighborOf(central_african_republic,equatorial_guinea) 0.228686 6
neighborOf(south_sudan,equatorial_guinea) 0.217545 7
neighborOf(zambia,equatorial_guinea) 0.200470 8
neighborOf(chad,equatorial_guinea) 0.193022 9
neighborOf(tanzania,equatorial_guinea) 0.188841 10
neighborOf(south_sudan,eritrea) 0.255854 4
neighborOf(kenya,eritrea) 0.255519 5
neighborOf(somalia,eritrea) 0.211112 6
neighborOf(uganda,eritrea) 0.204457 7
neighborOf(central_african_republic,eritrea) 0.192243 8
neighborOf(afghanistan,eritrea) 0.180290 9
neighborOf(dr_congo,eritrea) 0.175644 10
neighborOf(lithuania,estonia) 0.257927 3
neighborOf(sweden,estonia) 0.256880 4
neighborOf(belarus,estonia) 0.247412 5
neighborOf(ukraine,estonia) 0.233774 6
neighborOf(poland,estonia) 0.221498 7
neighborOf(austria,estonia) 0.219169 8
neighborOf(romania,estonia) 0.210946 9
neighborOf(south_africa,estonia) 0.205824 10
neighborOf(central_african_republic,ethiopia) 0.343384 7
neighborOf(uganda,ethiopia) 0.310665 8
neighborOf(tanzania,ethiopia) 0.310124 9
neighborOf(dr_congo,ethiopia) 0.304699 10
neighborOf(russia,falkland_islands) 0.212726 1
neighborOf(peru,falkland_islands) 0.203093 2
neighborOf(brazil,falkland_islands) 0.197093 3
neighborOf(azerbaijan,falkland_islands) 0.167107 4
neighborOf(turkey,falkland_islands) 0.163362 5
neighborOf(poland,falkland_islands) 0.160202 6
neighborOf(bolivia,falkland_islands) 0.159632 7
neighborOf(south_sudan,falkland_islands) 0.150946 8
neighborOf(paraguay,falkland_islands) 0.148357 9
neighborOf(uruguay,falkland_islands) 0.146820 10
neighborOf(russia,faroe_islands) 0.258010 1
neighborOf(namibia,faroe_islands) 0.195140 2
neighborOf(belarus,faroe_islands) 0.177598 3
neighborOf(ukraine,faroe_islands) 0.170769 4
neighborOf(romania,faroe_islands) 0.162235 5
neighborOf(chad,faroe_islands) 0.160312 6
neighborOf(hungary,faroe_islands) 0.160095 7
neighborOf(estonia,faroe_islands) 0.158763 8
neighborOf(lithuania,faroe_islands) 0.150834 9
neighborOf(poland,faroe_islands) 0.150825 10
neighborOf(russia,fiji) 0.134434 1
neighborOf(kenya,fiji) 0.130896 2
neighborOf(tanzania,fiji) 0.130562 3
neighborOf(iran,fiji) 0.129849 4
neighborOf(afghanistan,fiji) 0.118274 5
neighborOf(dr_congo,fiji) 0.116231 6
neighborOf(myanmar,fiji) 0.109094 7
neighborOf(chad,fiji) 0.108053 8
neighborOf(azerbaijan,fiji) 0.105504 9
neighborOf(falkland_islands,fiji) 0.104650 10
neighborOf(belarus,finland) 0.250495 4
neighborOf(lithuania,finland) 0.232066 5
neighborOf(poland,finland) 0.213359 6
neighborOf(latvia,finland) 0.204492 7
neighborOf(jersey,finland) 0.200506 8
neighborOf(north_korea,finland) 0.199118 9
neighborOf(estonia,finland) 0.181477 10
neighborOf(austria,france) 0.380120 9
neighborOf(china,france) 0.340376 10
neighborOf(venezuela,french_guiana) 0.273943 3
neighborOf(mongolia,french_guiana) 0.255978 4
neighborOf(peru,french_guiana) 0.218546 5
neighborOf(argentina,french_guiana) 0.198317 6
neighborOf(taiwan,french_guiana) 0.190666 7
neighborOf(paraguay,french_guiana) 0.189390 8
neighborOf(france,french_guiana) 0.189274 9
neighborOf(chad,french_guiana) 0.185868 10
neighborOf(iran,french_polynesia) 0.152564 1
neighborOf(ethiopia,french_polynesia) 0.146900 2
neighborOf(south_sudan,french_polynesia) 0.134558 3
neighborOf(france,french_polynesia) 0.132425 4
neighborOf(uganda,french_polynesia) 0.129727 5
neighborOf(zambia,french_polynesia) 0.125814 6
neighborOf(china,french_polynesia) 0.124121 7
neighborOf(somalia,french_polynesia) 0.123082 8
neighborOf(dr_congo,french_polynesia) 0.121043 9
neighborOf(kenya,french_polynesia) 0.116956 10
neighborOf(central_african_republic,gabon) 0.319133 4
neighborOf(dr_congo,gabon) 0.307216 5
neighborOf(chad,gabon) 0.241108 6
neighborOf(south_sudan,gabon) 0.207535 7
neighborOf(nigeria,gabon) 0.205794 8
neighborOf(uganda,gabon) 0.202495 9
neighborOf(zambia,gabon) 0.201697 10
neighborOf(mali,gambia) 0.309460 2
neighborOf(niger,gambia) 0.240563 3
neighborOf(guinea,gambia) 0.217340 4
neighborOf(bulgaria,gambia) 0.186019 5
neighborOf(ivory_coast,gambia) 0.184307 6
neighborOf(guinea_bissau,gambia) 0.183465 7
neighborOf(hungary,gambia) 0.181722 8
neighborOf(benin,gambia) 0.156660 9
neighborOf(algeria,gambia) 0.155071 10
neighborOf(syria,georgia) 0.338646 5
neighborOf(iran,georgia) 0.310295 6
neighborOf(iraq,georgia) 0.289753 7
neighborOf(saudi_arabia,georgia) 0.263811 8
neighborOf(north_korea,georgia) 0.259534 9
neighborOf(oman,georgia) 0.245176 10
neighborOf(italy,germany) 0.375534 10
neighborOf(nigeria,ghana) 0.248740 4
neighborOf(niger,ghana) 0.199910 5
neighborOf(benin,ghana) 0.196599 6
neighborOf(mali,ghana) 0.181625 7
neighborOf(liberia,ghana) 0.162450 8
neighborOf(cameroon,ghana) 0.161426 9
neighborOf(mauritania,ghana) 0.160178 10
neighborOf(italy,gibraltar) 0.172510 2
neighborOf(russia,gibraltar) 0.152698 3
neighborOf(germany,gibraltar) 0.147511 4
neighborOf(france,gibraltar) 0.145940 5
neighborOf(china,gibraltar) 0.145498 6
neighborOf(niger,gibraltar) 0.143856 7
neighborOf(switzerland,gibraltar) 0.140853 8
neighborOf(nigeria,gibraltar) 0.139875 9
neighborOf(guinea,gibraltar) 0.130774 10
neighborOf(hungary,greece) 0.366408 5
neighborOf(croatia,greece) 0.354657 6
neighborOf(serbia,greece) 0.348574 7
neighborOf(iraq,greece) 0.290679 8
neighborOf(kosovo,greece) 0.281028 9
neighborOf(romania,greece) 0.269439 10
neighborOf(brazil,greenland) 0.173894 1
neighborOf(serbia,greenland) 0.170620 2
neighborOf(russia,greenland) 0.149998 3
neighborOf(pakistan,greenland) 0.146464 4
neighborOf(croatia,greenland) 0.142344 5
neighborOf(austria,greenland) 0.138460 6
neighborOf(china,greenland) 0.136988 7
neighborOf(slovakia,greenland) 0.136703 8
neighborOf(saint_pierre_and_miquelon,greenland) 0.135499 9
neighborOf(romania,greenland) 0.132732 10
neighborOf(argentina,grenada) 0.133341 1
neighborOf(malaysia,grenada) 0.128949 2
neighborOf(brazil,grenada) 0.128505 3
neighborOf(italy,grenada) 0.127341 4
neighborOf(hungary,grenada) 0.126971 5
neighborOf(dominican_republic,grenada) 0.122212 6
neighborOf(haiti,grenada) 0.114801 7
neighborOf(russia,grenada) 0.113891 8
neighborOf(trinidad_and_tobago,grenada) 0.112916 9
neighborOf(france,grenada) 0.112441 10
neighborOf(russia,guadeloupe) 0.150481 1
neighborOf(chile,guadeloupe) 0.135828 2
neighborOf(botswana,guadeloupe) 0.131724 3
neighborOf(mauritania,guadeloupe) 0.128995 4
neighborOf(mali,guadeloupe) 0.128333 5
neighborOf(ivory_coast,guadeloupe) 0.122997 6
neighborOf(burkina_faso,guadeloupe) 0.120063 7
neighborOf(senegal,guadeloupe) 0.119710 8
neighborOf(niger,guadeloupe) 0.119026 9
neighborOf(tanzania,guadeloupe) 0.118215 10
neighborOf(ukraine,guam) 0.172046 1
neighborOf(turkey,guam) 0.149525 2
neighborOf(iran,guam) 0.141059 3
neighborOf(south_sudan,guam) 0.139486 4
neighborOf(serbia,guam) 0.133763 5
neighborOf(afghanistan,guam) 0.132351 6
neighborOf(kazakhstan,guam) 0.129503 7
neighborOf(mongolia,guam) 0.129466 8
neighborOf(bulgaria,guam) 0.127347 9
neighborOf(azerbaijan,guam) 0.126491 10
neighborOf(zambia,guatemala) 0.249953 5
neighborOf(mali,guatemala) 0.213863 6
neighborOf(south_africa,guatemala) 0.200792 7
neighborOf(serbia,guatemala) 0.190667 8
neighborOf(mozambique,guatemala) 0.184634 9
neighborOf(central_african_republic,guatemala) 0.182611 10
neighborOf(zambia,guernsey) 0.171327 1
neighborOf(south_africa,guernsey) 0.164139 2
neighborOf(russia,guernsey) 0.155246 3
neighborOf(belarus,guernsey) 0.146854 4
neighborOf(lithuania,guernsey) 0.133544 5
neighborOf(ukraine,guernsey) 0.133142 6
neighborOf(namibia,guernsey) 0.131130 7
neighborOf(latvia,guernsey) 0.130340 8
neighborOf(croatia,guernsey) 0.130317 9
neighborOf(chad,guernsey) 0.126489 10
neighborOf(niger,guinea) 0.313407 7
neighborOf(burkina_faso,guinea) 0.297602 8
neighborOf(nigeria,guinea) 0.275448 9
neighborOf(mauritania,guinea) 0.272656 10
neighborOf(mali,guinea_bissau) 0.293876 3
neighborOf(mauritania,guinea_bissau) 0.231323 4
neighborOf(niger,guinea_bissau) 0.230635 5
neighborOf(burkina_faso,guinea_bissau) 0.201158 6
neighborOf(algeria,guinea_bissau) 0.196384 7
neighborOf(ivory_coast,guinea_bissau) 0.196146 8
neighborOf(bulgaria,guinea_bissau) 0.189914 9
neighborOf(gambia,guinea_bissau) 0.186304 10
neighborOf(argentina,guyana) 0.216486 4
neighborOf(peru,guyana) 0.201812 5
neighborOf(uruguay,guyana) 0.180683 6
neighborOf(paraguay,guyana) 0.180519 7
neighborOf(bolivia,guyana) 0.170482 8
neighborOf(south_sudan,guyana) 0.164850 9
neighborOf(colombia,guyana) 0.162608 10
neighborOf(russia,haiti) 0.248452 2
neighborOf(china,haiti) 0.177781 3
neighborOf(turkmenistan,haiti) 0.169098 4
neighborOf(peru,haiti) 0.152158 5
neighborOf(tajikistan,haiti) 0.149063 6
neighborOf(slovakia,haiti) 0.144203 7
neighborOf(hungary,haiti) 0.139090 8
neighborOf(pakistan,haiti) 0.135749 9
neighborOf(poland,haiti) 0.135020 10
neighborOf(belize,honduras) 0.204515 4
neighborOf(panama,honduras) 0.188778 5
neighborOf(brazil,honduras) 0.179993 6
neighborOf(china,honduras) 0.170001 7
neighborOf(botswana,honduras) 0.162613 8
neighborOf(mali,honduras) 0.147118 9
neighborOf(france,honduras) 0.140404 10
neighborOf(myanmar,hong_kong) 0.186875 2
neighborOf(india,hong_kong) 0.167314 3
neighborOf(pakistan,hong_kong) 0.152677 4
neighborOf(laos,hong_kong) 0.138352 5
neighborOf(bangladesh,hong_kong) 0.132649 6
neighborOf(afghanistan,hong_kong) 0.127871 7
neighborOf(vietnam,hong_kong) 0.123015 8
neighborOf(south_sudan,hong_kong) 0.117813 9
neighborOf(cambodia,hong_kong) 0.114060 10
neighborOf(greece,hungary) 0.371426 8
neighborOf(montenegro,hungary) 0.353643 9
neighborOf(moldova,hungary) 0.343361 10
neighborOf(ukraine,iceland) 0.174263 1
neighborOf(russia,iceland) 0.163469 2
neighborOf(andorra,iceland) 0.158795 3
neighborOf(austria,iceland) 0.152914 4
neighborOf(finland,iceland) 0.152732 5
neighborOf(greece,iceland) 0.135047 6
neighborOf(croatia,iceland) 0.134557 7
neighborOf(germany,iceland) 0.132558 8
neighborOf(china,iceland) 0.132438 9
neighborOf(central_african_republic,iceland) 0.129675 10
neighborOf(laos,india) 0.388636 9
neighborOf(macau,india) 0.331214 10
neighborOf(south_africa,indonesia) 0.159698 4
neighborOf(russia,indonesia) 0.154357 5
neighborOf(china,indonesia) 0.139167 6
neighborOf(iraq,indonesia) 0.131769 7
neighborOf(france,indonesia) 0.127318 8
neighborOf(turkey,indonesia) 0.125617 9
neighborOf(palau,indonesia) 0.125071 10
neighborOf(syria,iran) 0.368176 8
neighborOf(saudi_arabia,iran) 0.335669 9
neighborOf(china,iran) 0.333201 10
neighborOf(armenia,iraq) 0.382681 7
neighborOf(azerbaijan,iraq) 0.359391 8
neighborOf(israel,iraq) 0.327991 9
neighborOf(russia,iraq) 0.319643 10
neighborOf(russia,ireland) 0.243195 2
neighborOf(latvia,ireland) 0.209570 3
neighborOf(lithuania,ireland) 0.207464 4
neighborOf(estonia,ireland) 0.179187 5
neighborOf(ukraine,ireland) 0.170519 6
neighborOf(kazakhstan,ireland) 0.169324 7
neighborOf(turkey,ireland) 0.150557 8
neighborOf(barbados,ireland) 0.147948 9
neighborOf(mongolia,ireland) 0.145001 10
neighborOf(latvia,isle_of_man) 0.189362 1
neighborOf(russia,isle_of_man) 0.183012 2
neighborOf(belarus,isle_of_man) 0.145806 3
neighborOf(ukraine,isle_of_man) 0.144739 4
neighborOf(turkey,isle_of_man) 0.139347 5
neighborOf(france,isle_of_man) 0.135653 6
neighborOf(romania,isle_of_man) 0.133386 7
neighborOf(lithuania,isle_of_man) 0.128774 8
neighborOf(germany,isle_of_man) 0.126149 9
neighborOf(namibia,isle_of_man) 0.126003 10
neighborOf(turkey,israel) 0.351535 6
neighborOf(iraq,israel) 0.333578 7
neighborOf(chad,israel) 0.262949 8
neighborOf(iran,israel) 0.261298 9
neighborOf(saudi_arabia,israel) 0.257667 10
neighborOf(germany,italy) 0.373330 7
neighborOf(slovakia,italy) 0.335567 8
neighborOf(poland,italy) 0.313923 9
neighborOf(hungary,italy) 0.298510 10
neighborOf(benin,ivory_coast) 0.375395 6
neighborOf(niger,ivory_coast) 0.354371 7
neighborOf(senegal,ivory_coast) 0.335067 8
neighborOf(togo,ivory_coast) 0.270947 9
neighborOf(mauritania,ivory_coast) 0.269879 10
neighborOf(mali,jamaica) 0.143398 1
neighborOf(romania,jamaica) 0.139346 2
neighborOf(ivory_coast,jamaica) 0.138497 3
neighborOf(nigeria,jamaica) 0.130840 4
neighborOf(mongolia,jamaica) 0.130463 5
neighborOf(wallis_and_futuna,jamaica) 0.129103 6
neighborOf(ukraine,jamaica) 0.128717 7
neighborOf(kosovo,jamaica) 0.127825 8
neighborOf(switzerland,jamaica) 0.127057 9
neighborOf(argentina,jamaica) 0.125085 10
neighborOf(russia,japan) 0.192139 1
neighborOf(brazil,japan) 0.144006 2
neighborOf(poland,japan) 0.137505 3
neighborOf(china,japan) 0.136766 4
neighborOf(germany,japan) 0.133669 5
neighborOf(belgium,japan) 0.133586 6
neighborOf(myanmar,japan) 0.133341 7
neighborOf(turkey,japan) 0.130965 8
neighborOf(france,japan) 0.123763 9
neighborOf(macedonia,japan) 0.122349 10
neighborOf(finland,jersey) 0.202844 1
neighborOf(russia,jersey) 0.192453 2
neighborOf(ukraine,jersey) 0.170402 3
neighborOf(mali,jersey) 0.165827 4
neighborOf(kazakhstan,jersey) 0.163738 5
neighborOf(chad,jersey) 0.163003 6
neighborOf(south_africa,jersey) 0.160742 7
neighborOf(france,jersey) 0.155129 8
neighborOf(estonia,jersey) 0.152440 9
neighborOf(zambia,jersey) 0.144807 10
neighborOf(turkey,jordan) 0.402513 6
neighborOf(azerbaijan,jordan) 0.310170 7
neighborOf(lebanon,jordan) 0.278277 8
neighborOf(hungary,jordan) 0.255463 9
neighborOf(central_african_republic,jordan) 0.240322 10
neighborOf(afghanistan,kazakhstan) 0.444134 6
neighborOf(tajikistan,kazakhstan) 0.417091 7
neighborOf(brazil,kazakhstan) 0.380103 8
neighborOf(argentina,kazakhstan) 0.323758 9
neighborOf(poland,kazakhstan) 0.297319 10
neighborOf(dr_congo,kenya) 0.386885 6
neighborOf(burundi,kenya) 0.358448 7
neighborOf(angola,kenya) 0.355590 8
neighborOf(sudan,kenya) 0.296406 9
neighborOf(rwanda,kenya) 0.290676 10
neighborOf(ethiopia,kiribati) 0.140010 1
neighborOf(germany,kiribati) 0.133210 2
neighborOf(pakistan,kiribati) 0.131025 3
neighborOf(nigeria,kiribati) 0.126550 4
neighborOf(cape_verde,kiribati) 0.122343 5
neighborOf(south_sudan,kiribati) 0.121084 6
neighborOf(ivory_coast,kiribati) 0.118541 7
neighborOf(uganda,kiribati) 0.115546 8
neighborOf(uzbekistan,kiribati) 0.114683 9
neighborOf(iran,kiribati) 0.113699 10
neighborOf(croatia,kosovo) 0.380102 5
neighborOf(romania,kosovo) 0.321711 6
neighborOf(bulgaria,kosovo) 0.299805 7
neighborOf(greece,kosovo) 0.276891 8
neighborOf(ukraine,kosovo) 0.272971 9
neighborOf(china,kosovo) 0.266079 10
neighborOf(oman,kuwait) 0.249993 3
neighborOf(syria,kuwait) 0.232204 4
neighborOf(turkey,kuwait) 0.226379 5
neighborOf(azerbaijan,kuwait) 0.214983 6
neighborOf(iran,kuwait) 0.211885 7
neighborOf(israel,kuwait) 0.194051 8
neighborOf(georgia,kuwait) 0.187853 9
neighborOf(armenia,kuwait) 0.184201 10
neighborOf(afghanistan,kyrgyzstan) 0.423218 5
neighborOf(iran,kyrgyzstan) 0.278691 6
neighborOf(pakistan,kyrgyzstan) 0.250618 7
neighborOf(india,kyrgyzstan) 0.243679 8
neighborOf(russia,kyrgyzstan) 0.239096 9
neighborOf(south_sudan,kyrgyzstan) 0.223434 10
neighborOf(india,laos) 0.393967 6
neighborOf(afghanistan,laos) 0.294586 7
neighborOf(mongolia,laos) 0.270890 8
neighborOf(macau,laos) 0.268773 9
neighborOf(bhutan,laos) 0.268770 10
neighborOf(poland,latvia) 0.330857 5
neighborOf(norway,latvia) 0.253353 6
neighborOf(ukraine,latvia) 0.246385 7
neighborOf(swaziland,latvia) 0.226144 8
neighborOf(kazakhstan,latvia) 0.206312 9
neighborOf(finland,latvia) 0.204121 10
neighborOf(palestine,lebanon) 0.371374 3
neighborOf(turkey,lebanon) 0.315336 4
neighborOf(iraq,lebanon) 0.291943 5
neighborOf(azerbaijan,lebanon) 0.288272 6
neighborOf(jordan,lebanon) 0.284566 7
neighborOf(egypt,lebanon) 0.264115 8
neighborOf(saudi_arabia,lebanon) 0.261831 9
neighborOf(north_korea,lebanon) 0.243134 10
neighborOf(mozambique,lesotho) 0.253584 2
neighborOf(zambia,lesotho) 0.205071 3
neighborOf(tanzania,lesotho) 0.182166 4
neighborOf(benin,lesotho) 0.176485 5
neighborOf(botswana,lesotho) 0.173031 6
neighborOf(turkey,lesotho) 0.169915 7
neighborOf(ukraine,lesotho) 0.154459 8
neighborOf(south_sudan,lesotho) 0.154134 9
neighborOf(angola,lesotho) 0.152154 10
neighborOf(burkina_faso,liberia) 0.348028 4
neighborOf(senegal,liberia) 0.310076 5
neighborOf(mali,liberia) 0.261321 6
neighborOf(niger,liberia) 0.248322 7
neighborOf(mauritania,liberia) 0.232853 8
neighborOf(colombia,liberia) 0.202662 9
neighborOf(ukraine,liberia) 0.199796 10
neighborOf(mali,libya) 0.350557 7
neighborOf(central_african_republic,libya) 0.294698 8
neighborOf(mauritania,libya) 0.282244 9
neighborOf(western_sahara,libya) 0.277008 10
neighborOf(germany,liechtenstein) 0.306994 3
neighborOf(italy,liechtenstein) 0.297940 4
neighborOf(hungary,liechtenstein) 0.272910 5
neighborOf(slovakia,liechtenstein) 0.269716 6
neighborOf(czechia,liechtenstein) 0.267493 7
neighborOf(ukraine,liechtenstein) 0.213635 8
neighborOf(slovenia,liechtenstein) 0.212000 9
neighborOf(libya,liechtenstein) 0.210600 10
neighborOf(ukraine,lithuania) 0.301346 5
neighborOf(estonia,lithuania) 0.260338 6
neighborOf(finland,lithuania) 0.236152 7
neighborOf(swaziland,lithuania) 0.231738 8
neighborOf(austria,lithuania) 0.230119 9
neighborOf(china,lithuania) 0.226489 10
neighborOf(austria,luxembourg) 0.314226 4
neighborOf(italy,luxembourg) 0.268589 5
neighborOf(switzerland,luxembourg) 0.231575 6
neighborOf(czechia,luxembourg) 0.227667 7
neighborOf(kazakhstan,luxembourg) 0.227541 8
neighborOf(china,luxembourg) 0.203646 9
neighborOf(andorra,luxembourg) 0.201383 10
neighborOf(india,macau) 0.330587 2
neighborOf(laos,macau) 0.270915 3
neighborOf(pakistan,macau) 0.245070 4
neighborOf(myanmar,macau) 0.234917 5
neighborOf(russia,macau) 0.204845 6
neighborOf(afghanistan,macau) 0.204673 7
neighborOf(central_african_republic,macau) 0.201709 8
neighborOf(dr_congo,macau) 0.189269 9
neighborOf(bhutan,macau) 0.183621 10
neighborOf(romania,macedonia) 0.350525 6
neighborOf(hungary,macedonia) 0.317455 7
neighborOf(bosnia_and_herzegovina,macedonia) 0.317257 8
neighborOf(croatia,macedonia) 0.309640 9
neighborOf(ukraine,macedonia) 0.267694 10
neighborOf(tanzania,madagascar) 0.206094 1
neighborOf(zambia,madagascar) 0.187332 2
neighborOf(south_africa,madagascar) 0.171627 3
neighborOf(rwanda,madagascar) 0.163315 4
neighborOf(mali,madagascar) 0.155931 5
neighborOf(angola,madagascar) 0.154724 6
neighborOf(dr_congo,madagascar) 0.149430 7
neighborOf(south_sudan,madagascar) 0.149227 8
neighborOf(kenya,madagascar) 0.148058 9
neighborOf(sudan,madagascar) 0.142289 10
neighborOf(angola,malawi) 0.341665 4
neighborOf(south_sudan,malawi) 0.338409 5
neighborOf(dr_congo,malawi) 0.320995 6
neighborOf(south_africa,malawi) 0.296485 7
neighborOf(botswana,malawi) 0.293004 8
neighborOf(central_african_republic,malawi) 0.291707 9
neighborOf(rwanda,malawi) 0.278455 10
neighborOf(china,malaysia) 0.232072 4
neighborOf(north_korea,malaysia) 0.210177 5
neighborOf(mongolia,malaysia) 0.204205 6
neighborOf(vietnam,malaysia) 0.190861 7
neighborOf(brazil,malaysia) 0.176928 8
neighborOf(cameroon,malaysia) 0.174276 9
neighborOf(laos,malaysia) 0.172007 10
neighborOf(china,maldives) 0.152446 1
neighborOf(mongolia,maldives) 0.145068 2
neighborOf(romania,maldives) 0.143993 3
neighborOf(bosnia_and_herzegovina,maldives) 0.131624 4
neighborOf(panama,maldives) 0.130937 5
neighborOf(india,maldives) 0.127295 6
neighborOf(afghanistan,maldives) 0.125753 7
neighborOf(myanmar,maldives) 0.122906 8
neighborOf(laos,maldives) 0.120057 9
neighborOf(estonia,maldives) 0.117597 10
neighborOf(benin,mali) 0.378102 8
neighborOf(nigeria,mali) 0.360650 9
neighborOf(libya,mali) 0.344679 10
neighborOf(libya,malta) 0.186674 1
neighborOf(iran,malta) 0.183135 2
neighborOf(chad,malta) 0.176321 3
neighborOf(ukraine,malta) 0.167912 4
neighborOf(egypt,malta) 0.165581 5
neighborOf(brazil,malta) 0.160991 6
neighborOf(russia,malta) 0.159285 7
neighborOf(niger,malta) 0.157443 8
neighborOf(kazakhstan,malta) 0.157159 9
neighborOf(france,malta) 0.155634 10
neighborOf(central_african_republic,marshall_islands) 0.166378 1
neighborOf(chad,marshall_islands) 0.158385 2
neighborOf(south_sudan,marshall_islands) 0.148041 3
neighborOf(uganda,marshall_islands) 0.142909 4
neighborOf(mozambique,marshall_islands) 0.129036 5
neighborOf(turkey,marshall_islands) 0.128498 6
neighborOf(iran,marshall_islands) 0.126465 7
neighborOf(ethiopia,marshall_islands) 0.125702 8
neighborOf(mauritania,marshall_islands) 0.124264 9
neighborOf(china,marshall_islands) 0.122132 10
neighborOf(poland,martinique) 0.146954 1
neighborOf(mali,martinique) 0.133139 2
neighborOf(russia,martinique) 0.131121 3
neighborOf(pakistan,martinique) 0.126181 4
neighborOf(burkina_faso,martinique) 0.121822 5
neighborOf(north_korea,martinique) 0.120886 6
neighborOf(belarus,martinique) 0.119385 7
neighborOf(mongolia,martinique) 0.118441 8
neighborOf(uganda,martinique) 0.116509 9
neighborOf(niger,martinique) 0.113280 10
neighborOf(niger,mauritania) 0.366521 5
neighborOf(benin,mauritania) 0.295103 6
neighborOf(libya,mauritania) 0.279951 7
neighborOf(ivory_coast,mauritania) 0.278489 8
neighborOf(guinea,mauritania) 0.272838 9
neighborOf(chad,mauritania) 0.259521 10
neighborOf(dr_congo,mauritius) 0.261892 1
neighborOf(cameroon,mauritius) 0.220619 2
neighborOf(sudan,mauritius) 0.218929 3
neighborOf(tanzania,mauritius) 0.195340 4
neighborOf(angola,mauritius) 0.195301 5
neighborOf(uganda,mauritius) 0.172187 6
neighborOf(niger,mauritius) 0.167141 7
neighborOf(zambia,mauritius) 0.160569 8
neighborOf(south_sudan,mauritius) 0.159732 9
neighborOf(portugal,mauritius) 0.154449 10
neighborOf(tanzania,mayotte) 0.236516 1
neighborOf(zambia,mayotte) 0.227292 2
neighborOf(dr_congo,mayotte) 0.216082 3
neighborOf(rwanda,mayotte) 0.210205 4
neighborOf(south_sudan,mayotte) 0.209300 5
neighborOf(republic_of_the_congo,mayotte) 0.196521 6
neighborOf(burundi,mayotte) 0.187739 7
neighborOf(benin,mayotte) 0.173539 8
neighborOf(sudan,mayotte) 0.169301 9
neighborOf(chad,mayotte) 0.166462 10
neighborOf(zambia,mexico) 0.176517 4
neighborOf(botswana,mexico) 0.168271 5
neighborOf(south_sudan,mexico) 0.165983 6
neighborOf(cameroon,mexico) 0.163829 7
neighborOf(republic_of_the_congo,mexico) 0.163048 8
neighborOf(bulgaria,mexico) 0.162586 9
neighborOf(chad,mexico) 0.156494 10
neighborOf(slovakia,moldova) 0.351753 3
neighborOf(hungary,moldova) 0.342701 4
neighborOf(poland,moldova) 0.273149 5
neighborOf(austria,moldova) 0.244701 6
neighborOf(russia,moldova) 0.235082 7
neighborOf(serbia,moldova) 0.225535 8
neighborOf(germany,moldova) 0.221157 9
neighborOf(belarus,moldova) 0.220590 10
neighborOf(kazakhstan,monaco) 0.157147 2
neighborOf(china,monaco) 0.148333 3
neighborOf(afghanistan,monaco) 0.137613 4
neighborOf(tajikistan,monaco) 0.133562 5
neighborOf(malaysia,monaco) 0.133521 6
neighborOf(germany,monaco) 0.130854 7
neighborOf(spain,monaco) 0.123651 8
neighborOf(luxembourg,monaco) 0.112271 9
neighborOf(central_african_republic,monaco) 0.111834 10
neighborOf(laos,mongolia) 0.279086 3
neighborOf(french_guiana,mongolia) 0.267934 4
neighborOf(india,mongolia) 0.239758 5
neighborOf(senegal,mongolia) 0.238174 6
neighborOf(poland,mongolia) 0.236592 7
neighborOf(bhutan,mongolia) 0.225696 8
neighborOf(afghanistan,mongolia) 0.220420 9
neighborOf(germany,mongolia) 0.218477 10
neighborOf(hungary,montenegro) 0.353925 6
neighborOf(bulgaria,montenegro) 0.332942 7
neighborOf(romania,montenegro) 0.311895 8
neighborOf(greece,montenegro) 0.260124 9
neighborOf(macedonia,montenegro) 0.259469 10
neighborOf(argentina,montserrat) 0.213223 1
neighborOf(kosovo,montserrat) 0.175358 2
neighborOf(brazil,montserrat) 0.171439 3
neighborOf(croatia,montserrat) 0.164641 4
neighborOf(montenegro,montserrat) 0.159177 5
neighborOf(bulgaria,montserrat) 0.151123 6
neighborOf(ivory_coast,montserrat) 0.149523 7
neighborOf(bolivia,montserrat) 0.137565 8
neighborOf(bosnia_and_herzegovina,montserrat) 0.136864 9
neighborOf(hungary,montserrat) 0.136115 10
neighborOf(mali,morocco) 0.259123 4
neighborOf(azerbaijan,morocco) 0.245237 5
neighborOf(libya,morocco) 0.244328 6
neighborOf(niger,morocco) 0.219401 7
neighborOf(mauritania,morocco) 0.198402 8
neighborOf(peru,morocco) 0.187405 9
neighborOf(france,morocco) 0.181488 10
neighborOf(namibia,mozambique) 0.468084 7
neighborOf(botswana,mozambique) 0.458564 8
neighborOf(dr_congo,mozambique) 0.387353 9
neighborOf(south_sudan,mozambique) 0.322999 10
neighborOf(pakistan,myanmar) 0.394272 6
neighborOf(nepal,myanmar) 0.374755 7
neighborOf(afghanistan,myanmar) 0.362043 8
neighborOf(vietnam,myanmar) 0.358669 9
neighborOf(bhutan,myanmar) 0.281819 10
neighborOf(mozambique,namibia) 0.481738 5
neighborOf(central_african_republic,namibia) 0.311636 6
neighborOf(south_sudan,namibia) 0.307441 7
neighborOf(dr_congo,namibia) 0.304588 8
neighborOf(zimbabwe,namibia) 0.290638 9
neighborOf(tanzania,namibia) 0.278044 10
neighborOf(ukraine,nauru) 0.155425 1
neighborOf(afghanistan,nauru) 0.154113 2
